no	summary	example	trigger	input	inside	action	output
028	コードや文書と、その変更履歴を管理する道具。	ホームページの文章を直し、変更差分と公開処理の結果を確認する。	ファイルを変更し、経緯を残したくなる	ファイル・差分・作業票・実行条件	版・差分・レビュー・実行ログを保持する	変更を記録し、検査結果を返す	変更履歴・ファイル・検査ログ
029	メールの読み書きと整理をする道具。	依頼メールを探し、返信の下書きを作る。	届いた連絡を確認・返信したくなる	検索条件・メール・返信内容	スレッドと添付情報を読む	対象を探し、返信案や整理結果を作る	メール本文・下書き・整理状態
030	日時を決めて予定を管理する道具。	来週の空き時間を確認し、打ち合わせ候補を選ぶ。	予定を確認・調整したくなる	日時・参加者・予定内容	既存予定と空き時間を調べる	予定候補や変更結果を返す	空き時間・予定情報・更新状態
031	保存済みの連絡先から人の情報を探す道具。	名前だけ覚えている相手の連絡先を探す。	特定の人の連絡情報が必要になる	名前・連絡先の検索条件	保存済みの人物情報を照合する	該当する連絡先を返す	連絡先ID・保存済みの連絡情報
032	ファイルや共同編集する文書・表・スライドを管理する道具。	会議資料を探し、共有している表の指定範囲を読む。	保存資料を読み、共同で編集したくなる	ファイル・文書・表の範囲	文書の構造と指定部分を読む	内容取得や編集を行う	文書内容・表の範囲・編集結果
033	過去の会議ノートや会話内容を探す道具。	前の打ち合わせで決めた納期を、会議ノートから探す。	以前の会議で何を話したか知りたくなる	会議名・時期・質問	会議記録と文字起こしを検索する	該当会話を取り出す	会議内容・発言・関連記録
034	画面・データベース・処理を含むアプリを作る道具。	問い合わせ管理アプリの表を作り、公開前の検査を行う。	保存と処理を持つアプリが必要になる	仕様・ソース・表の型	コード・表・実行ログを扱う	実装と公開前の検査を行う	アプリ・データ構造・検査結果
035	アバターや音声を使って人物説明動画を作る道具。	案内文から、指定した話者と言語の説明動画を作る。	話す人物の動画が必要になる	台本・話者・声・言語	台本と話者の設定を組み合わせる	説明を音声と映像へ変換する	人物動画・音声・翻訳版
036	画像・動画・音声の生成をまとめて扱う制作道具。	画像案を複数作る前に、モデルと費用を確認する。	素材を生成したくなる	制作条件・素材・モデル	生成方法と費用を確認する	生成処理を実行し、完了を待つ	生成素材・処理状態・費用情報
037	顧客や営業活動を管理する道具。	顧客の記録を開き、商談の状態と関連情報を確認する。	顧客対応の状態を確認したくなる	顧客・会社・記録の条件	顧客項目と活動の状態を読む	対象情報を取得・更新する	顧客記録・商談状態・分析材料
038	化合物などの入力を専門モデルで評価する創薬支援道具。	対象構造と予測したい性質を指定し、モデルの予測値を得る。	対象の性質をモデルで見積もりたくなる	構造化した対象・予測モデル	専門モデルへ入力を渡す	指定した性質を予測する	予測値・モデル情報（実測値ではない）
039	入力フォームを作り、回答を集める道具。	参加希望者から名前と希望日を集めるフォームを作る。	人から決まった項目を集めたくなる	質問項目・回答・フォーム指定	回答を決められた項目にそろえる	フォームと回答記録を作る	フォーム・回答一覧・分析材料
040	開発の課題やプロジェクトの進捗を管理する道具。	不具合を作業票にし、担当と修正状況を追う。	要求や不具合を作業へ変えたくなる	要求・課題・担当・状態	作業票とプロジェクトを対応づける	作業の状態を更新する	作業票・進捗・リリース情報
041	仕事上の人物や所属を探す道具。	会社名と職種から、関係しそうな人物を探す。	仕事上の人物を特定したくなる	名前・会社・職種・地域	仕事上のプロフィールを検索する	条件に合う人物候補を返す	人物候補・所属などの情報
042	指示とプロジェクトの知識からアプリを作る道具。	既存の仕様を渡し、予約一覧の画面を追加する。	既存アプリに機能を足したくなる	仕様・プロジェクト知識・変更指示	既存ファイルとデータ構造を読む	文脈に合わせてアプリを修正する	変更されたアプリ・ファイル・差分
043	業務手順やデータの関係を図にする道具。	受付から回答までの手順を渡して、流れを図にする。	関係や手順を図として確認したくなる	要素・関係・図の種類	関係の指定を図の形式に合わせる	図を作り、構造を検査する	関係図・構造の検査結果
044	調査・Web・スライドなどの成果物づくりを依頼する道具。	調査テーマと欲しい成果物を指定し、調査作業を委任する。	まとまった成果物を依頼したくなる	目的・成果物の種類・制約	依頼を作業開始の単位にまとめる	制作や調査を委任する	作業開始情報・成果物（完了後）
045	付箋・図・資料を同じボードで整理する道具。	企画の材料をボードに並べ、関係するものをまとめる。	材料の位置関係を見ながら考えたくなる	文章・画像・項目・関係	ボードの場所と要素を読む	材料を配置・更新する	共有ボード・整理した構造
046	文書形式のデータを保存・検索するデータベース。	保存された商品情報を条件で絞り、必要な項目を集計する。	保存データを検索・更新したくなる	コレクション・条件・更新内容	データの型と索引を参照する	検索・集計・更新を行う	該当データ・集計・更新状態
047	SQLでデータを調べ、分析手順や結果を残す道具。	売上データを集計し、同じ調査を後でも使える形で保存する。	データを分析し、再利用したくなる	データ・問い合わせ文・分析条件	表を読み、分析手順を組み立てる	集計し、分析結果を保存する	集計表・保存された分析手順
048	Webサイトを公開し、公開状態を管理する道具。	作ったWebサイトの公開設定と更新状態を確認する。	Webサイトを公開・更新したくなる	サイト・ソース・公開設定	サイトと公開処理の状態を読む	公開処理や設定更新を行う	公開状態・設定・処理結果
049	メモ・文書・データベースを一か所に整理する道具。	調査結果と出典をページにまとめ、後から探せるようにする。	知識を記録・再利用したくなる	文章・項目・ページ指定	ページとデータベースの構造を読む	内容を検索・保存・更新する	ページ・構造化した記録
050	別の実行環境へOpenAIの認証を設定するための道具。	アプリがAPIを使えるよう、対象を確認して認証設定を進める。	別の環境へ認証を設定したくなる	設定対象・利用者の承認	対象と設定手順を確認する	認証情報の安全な設定を進める	設定結果（秘密情報は図鑑に載せない）
051	人がOperaで開いているページをAIから読むための接続道具。	いま開いている調べ物のページをAIに読ませ、内容を整理する。	いま見ているページをAIにも渡したくなる	タブ・ページ・読み取り条件	ブラウザの表示内容を読む	対象タブの内容を取り出す	ページ内容・タブ情報・画像
052	Webページを探して本文を取得する検索道具。	調査テーマでページ候補を集め、候補の本文を確認する。	Web上の根拠が必要になる	検索条件・URL	検索結果と指定ページを読む	候補と本文を返す	URL・検索結果・本文
053	追加できるPluginを探し、能力棚を管理する道具。	欲しい機能のPluginを探し、使う前に権限を確認する。	足りない外部能力を追加したくなる	必要な機能・Plugin名	登録情報と必要な権限を読む	候補と接続条件を示す	Plugin候補・権限情報
054	Podcastの番組やエピソードを探す道具。	ギターの話が聞けるPodcastエピソードを探す。	長い音声番組を探したくなる	話題・番組名・検索語	番組とエピソードを検索する	条件に合う音声候補を返す	番組・エピソードの候補
055	アプリの利用行動を分析する道具。	訪問から申込みまでの間で、利用者が離れる段階を調べる。	アプリ内で何が起きたか知りたくなる	期間・イベント・分析条件	利用イベントを読み、段階ごとに集計する	行動の流れと離脱を調べる	イベント集計・行動分析の結果
056	アプリのサービスや公開状態を管理する道具。	公開したアプリが動かない時に、状態とログを確認する。	公開サービスの状態を知りたくなる	プロジェクト・サービス・期間	公開処理と実行ログを読む	状態や問題の手掛かりを返す	稼働状態・ログ・公開結果
057	文章で指示してアプリを作り、修正・公開する道具。	買い物リストのアプリを作り、追加したい機能を文章で伝える。	アプリ制作をまとめて依頼したくなる	作りたい機能・修正指示	指示をアプリの作業へまとめる	作成・修正・公開を進める	アプリ・作業結果・公開状態
058	経歴を整理して履歴書や応募文書を作る道具。	職歴と技能を入力し、応募先に合わせた履歴書を作る。	経歴を提出用の文書にしたくなる	職歴・技能・応募条件	経歴項目をテンプレートへ当てはめる	提出用の文書を組み立てる	履歴書・応募文書
059	論文を探し、比較したい項目を表に追加する道具。	論文の一覧に「研究対象」と「方法」の列を加えて比べる。	論文群へ同じ問いを当てたくなる	論文候補・比較項目	各論文から指定項目を探す	比較用の列を追加する	論文一覧・比較表
060	論文の引用関係や引用された文脈を調べる道具。	ある論文が別の論文でどのように引用されたか確認する。	主張の引用関係を確かめたくなる	論文・識別情報・調査条件	引用元・引用先・文脈を調べる	引用関係をたどって情報を返す	引用文脈・関連論文・監査材料
061	検索キーワードや競合サイトの状況を調べる道具。	自分のサイトと競合について、検索流入や関連キーワードを比べる。	Webでどう見つかるか知りたくなる	ドメイン・キーワード・期間	検索・流入・リンク情報を調べる	条件に合うレポートを返す	キーワード・流入・競合の調査結果
062	流れている曲の名前を調べる曲認識の道具。	店で聞いた曲を認識し、曲名とアーティストを確認する。	聞こえた曲の名前を知りたくなる	認識用の音・曲の検索条件	音を照合して曲の候補を特定する	曲と音楽情報を結びつける	曲名・アーティスト・曲の識別情報
063	ネットショップの商品・注文・在庫を管理する道具。	商品一覧と在庫を確認し、売り切れの商品を見つける。	店の商品や注文を確認したくなる	商品・注文・在庫の条件	店の記録を読み、対象を特定する	対象データを検索・更新する	商品情報・注文・在庫の状態
064	論文を探し、資料を知識として整理する道具。	調査した論文を残し、保存資料について後から質問する。	研究資料を集めて使い回したくなる	検索語・資料・質問	論文検索と保存知識の参照を行う	関係する研究情報を取り出す	論文候補・保存知識・参照結果
065	チームの会話や仕事の連絡をまとめる道具。	案件のスレッドを探し、決定事項を確認する。	チームの会話から情報を取り出したくなる	検索語・チャンネル・スレッド	会話と関連する仕事情報を読む	必要な発言を探し、連絡を整える	発言・スレッド・下書きなど
066	オンライン決済や支払いの状態を管理する道具。	支払いの記録を指定し、処理済みかどうかを確認する。	支払いを実装・確認したくなる	対象の記録・決済条件・操作指定	必要なAPIと対象状態を確認する	決済関連の照会や操作を行う	決済記録・処理状態・実装手順
067	アプリのデータベースやバックエンドを管理する道具。	本番と分けた環境で、表の変更を試す。	保存機能を作り、変更を試したくなる	表の型・SQL・実行環境	データ構造と環境を確認する	表や処理を変更し、検査する	データ構造・実行結果・診断情報
068	広告など複数のデータ元から数値を集める道具。	広告アカウントと期間を指定し、費用や成果の表を作る。	複数の施策を同じ表で見たくなる	データ元・アカウント・指標・期間	利用可能な項目を確認して照会する	異なるデータ元の値を集める	指標・期間をそろえたデータ表
069	販売ページや顧客への案内をまとめて管理する道具。	講座の案内ページと、申込者へ送る案内の流れを整える。	販売と案内の流れを作りたくなる	ページ・顧客条件・配信条件	項目の型と自動化ルールを読む	ページや案内の流れを設定する	販売ページ・顧客状態・配信設定
070	レストランの情報と予約可能な条件を調べる道具。	日付と人数を指定し、店の空席や取消条件を確認する。	店の予約候補を決めたくなる	店・日付・人数	空席と予約条件を照合する	予約候補と必要条件を返す	空席・メニュー・取消条件・予約状態
071	タロットを使って問いを別の角度から考える道具。	企画の選択肢を相談し、別の見方を出す材料にする。	別の視点で考えてみたくなる	問い・相談内容	カードを解釈のきっかけにする	異なる観点を提示する	解釈・考えるための材料（事実判定ではない）
072	Web検索と本文抽出をまとめて行う調査道具。	調べたいテーマで検索し、関連ページから説明を抜き出す。	検索結果だけでなく本文も必要になる	検索語・URL・調査範囲	ページを探して対象部分を取得する	調査に必要な内容を集める	検索候補・抽出本文・調査材料
073	Web上の操作を仕事として実行する自動化道具。	公開ページで条件を指定し、表示される候補一覧を収集する。	ページの操作を伴う情報収集が必要になる	URL・操作目的・取得条件	ブラウザ操作を処理仕事として進める	操作を実行し、完了状態を確認する	収集結果・実行状態・失敗情報
074	やることと期限を管理する道具。	今週の作業を登録し、期限切れと完了済みを確認する。	やることを忘れず進めたくなる	作業名・期限・プロジェクト	作業と完了状態を読む	作業を登録・更新・整理する	タスク一覧・期限・完了状態
075	仕事をカードにして進捗の列へ並べる道具。	制作カードを「未着手」から「作業中」へ移し、今の位置を示す。	仕事の進み具合を一覧したくなる	カード・列・チェック項目	ボード上のカードの位置を読む	カードを移動・更新する	ボード・カード・進捗の位置
076	配達先の条件に合う店や料理を探す道具。	配達先に届く料理の候補を探す。注文確定とは別。	届けてもらえる料理を知りたくなる	配達先・料理などの条件	配達条件に合う候補を検索する	店や料理の候補を返す	配達可能な候補・検索結果
077	Webアプリを公開し、実行状況やエラーを調べる道具。	公開後に出たエラーを、ビルドと実行ログから調べる。	公開したアプリの動作を確かめたくなる	プロジェクト・公開版・期間	ビルドと実行の記録を読む	問題の発生箇所を確認する	公開状態・ログ・エラー情報
078	Webサイトの画面と記事などの内容を管理する道具。	サイトのページと画像を整え、記事項目を更新する。	Webサイトの見た目や内容を変えたくなる	ページ・素材・記事項目	画面とコンテンツの構造を読む	ページや管理項目を編集する	Webページ・素材・記事の状態
079	記事やページを継続的に更新するWebサイトの管理道具。	新しい記事を下書きにし、見出しと案内メニューを整える。	サイトの記事や構成を更新したくなる	記事・ページ・サイト設定	内容・テンプレート・案内構造を読む	記事やサイトの状態を変更する	下書き・ページ・サイト設定
080	考えを枝や階層で整理するマインドマップの道具。	企画の材料を親子関係に分け、全体を一枚で眺める。	文章の階層を見える形にしたくなる	項目・親子関係・表示の型	情報を階層へ組み立てる	枝やツリーなどの形へ変換する	編集可能なマップ・階層図
081	お金の使い道を決める家計管理の考え方を支援する道具。	大きな買い物を考える時、先に確保する支出と予算を整理する。	お金の割り当てで迷う	予算の相談・目的・制約	家計判断の型を当てはめる	使い道を考える手順を示す	判断の手順・整理した選択肢
082	オンライン会議と、その録画や記録を扱う道具。	会議の文字起こしを探し、実際の発言を確認する。	会議の一次記録を確かめたくなる	会議名・日時・記録の指定	録画・文字起こし・要約を探す	該当する会議資料を返す	録画情報・発言記録・会議要約
083	条件に合う不動産物件を探す道具。	地域と予算を入れ、候補物件の詳細を比べる。	住まいの候補を探したくなる	地域・予算・物件条件	公開中の物件情報を検索する	条件に合う物件を返す	物件候補・詳細・利用ガイド
084	チームの仕事をボードや項目で管理する道具。	制作案件ごとに担当と期限を置き、進捗を一覧する。	チームの仕事をまとめて管理したくなる	案件・担当・期限・状態	ボードと項目の状態を読む	仕事の記録とルールを更新する	案件一覧・進捗・自動化設定
085	YouTubeのキーワードや動画の反応を調べる道具。	テーマに近い動画を調べ、伸びている題材の手掛かりを探す。	動画の題材や反応を調べたくなる	キーワード・動画・チャンネル	傾向・競合・視聴指標を調べる	制作判断の材料を返す	キーワード候補・動画指標・反応
